algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,width_profile_count,unique_outcome_count,is_width_inactive,width_profiles,equivalent_profile_groups
QFT,6,36,4,asap,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
QFT,6,36,4,asap,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M4_F4|W8_M4_F8;W8_M8_F4;W8_M8_F8
QFT,6,36,4,asap,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M4_F4|W8_M4_F8;W8_M8_F4;W8_M8_F8
QFT,6,36,4,asap,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M4_F4|W8_M4_F8;W8_M8_F4;W8_M8_F8
QFT,6,36,4,asap,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M4_F4|W8_M4_F8;W8_M8_F4;W8_M8_F8
QFT,6,36,4,greedy_critical,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
QFT,6,36,4,greedy_critical,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
QFT,6,36,4,greedy_critical,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
QFT,6,36,4,greedy_critical,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
QFT,6,36,4,greedy_critical,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
QFT,6,36,4,greedy_critical,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
QFT,6,36,4,greedy_critical,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
QFT,6,36,4,greedy_critical,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,0,asap,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,0,asap,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,0,asap,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,0,asap,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,0,asap,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,0,asap,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,0,asap,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,0,asap,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,0,greedy_critical,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,0,greedy_critical,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,0,greedy_critical,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,0,greedy_critical,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,0,greedy_critical,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,0,greedy_critical,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,0,greedy_critical,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,0,greedy_critical,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,1,asap,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,1,asap,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,1,asap,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,1,asap,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,1,asap,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,1,asap,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,1,asap,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,1,asap,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,1,greedy_critical,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,1,greedy_critical,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,1,greedy_critical,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,1,greedy_critical,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,1,greedy_critical,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,1,greedy_critical,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,1,greedy_critical,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,1,greedy_critical,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,2,asap,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,2,asap,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,2,asap,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,2,asap,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,2,asap,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,2,asap,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,2,asap,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,2,asap,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,2,greedy_critical,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,2,greedy_critical,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,2,greedy_critical,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,2,greedy_critical,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,2,greedy_critical,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,2,greedy_critical,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,2,greedy_critical,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,2,greedy_critical,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,3,asap,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,3,asap,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,3,asap,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,3,asap,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,3,asap,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,3,asap,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,3,asap,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,3,asap,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,3,greedy_critical,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,3,greedy_critical,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,3,greedy_critical,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,3,greedy_critical,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,3,greedy_critical,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,3,greedy_critical,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,3,greedy_critical,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,3,greedy_critical,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,4,asap,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,4,asap,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,4,asap,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,4,asap,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,4,asap,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,4,asap,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,4,asap,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,4,asap,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,4,greedy_critical,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,4,greedy_critical,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,4,greedy_critical,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,4,greedy_critical,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,4,16,4,greedy_critical,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,4,greedy_critical,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,4,greedy_critical,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,4,16,4,greedy_critical,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,0,asap,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,0,asap,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,0,asap,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,0,asap,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,0,asap,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,0,asap,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,0,asap,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,0,asap,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,0,greedy_critical,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,0,greedy_critical,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,0,greedy_critical,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,0,greedy_critical,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,0,greedy_critical,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,0,greedy_critical,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,0,greedy_critical,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,0,greedy_critical,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,1,asap,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,1,asap,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,1,asap,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,1,asap,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,1,asap,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,1,asap,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,1,asap,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,1,asap,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,1,greedy_critical,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,1,greedy_critical,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,1,greedy_critical,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,1,greedy_critical,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,1,greedy_critical,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,1,greedy_critical,next_cycle,8,1,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,1,greedy_critical,next_cycle,8,2,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,1,greedy_critical,next_cycle,8,2,2,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
VQE,6,36,2,asap,next_cycle,4,1,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,2,asap,next_cycle,4,1,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,2,asap,next_cycle,4,2,1,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,2,asap,next_cycle,4,2,2,4,1,yes,"W4_M4_F4,W4_M4_F8,W4_M8_F4,W4_M8_F8",W4_M4_F4|W4_M4_F8|W4_M8_F4|W4_M8_F8
VQE,6,36,2,asap,next_cycle,8,1,1,4,3,no,"W8_M4_F4,W8_M4_F8,W8_M8_F4,W8_M8_F8",W8_M8_F4;W8_M4_F4|W8_M4_F8;W8_M8_F8
